bd_number,a_makedown,b_makedown,nv_imps,vul_imps,north,south,vulnerable,makes_3NT,score,n_S,n_H,n_D,n_C,s_S,s_H,s_D,s_C,AK,AQ,AJ,AT,Ax,KQ,KJ,KT,Kx,QJ,QT,Qx,JT,Jx,Tx,xx,AKQ,AKJ,AKT,AKx,AQJ,AQT,AQx,AJT,AJx,ATx,Axx,KQJ,KQT,KQx,KJT,KJx,KTx,Kxx,QJT,QJx,QTx,Qxx,JTx,Jxx,Txx,xxx,AKQJ,AKQT,AKQx,AKJT,AKJx,AKTx,AKxx,AQJT,AQJx,AQTx,AQxx,AJTx,AJxx,ATxx,Axxx,KQJT,KQJx,KQTx,KQxx,KJTx,KJxx,KTxx,Kxxx,QJTx,QJxx,QTxx,Qxxx,JTxx,Jxxx,Txxx,xxxx,AKQJT,AKQJx,AKQTx,AKQxx,AKJTx,AKJxx,AKTxx,AKxxx,AQJTx,AQJxx,AQTxx,AQxxx,AJTxx,AJxxx,ATxxx,Axxxx,KQJTx,KQJxx,KQTxx,KQxxx,KJTxx,KJxxx,KTxxx,Kxxxx,QJTxx,QJxxx,QTxxx,Qxxxx,JTxxx,Jxxxx,Txxxx,xxxxx,4333
8320,-1.0,2.0,-5,-6,S:xxx H:Kxxx D:Txx C:Axx ,S:Txx H:AQTx D:AKx C:QTx ,False,False,-5,3,4,3,4,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8321,-1.0,2.0,-5,-6,S:AKQ H:xxxx D:AQxx C:xx ,S:xxxx H:Axx D:JTx C:QJT ,False,False,-5,3,4,4,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8322,-3.0,-2.0,-2,-3,S:Jx H:Axxx D:Txx C:KQxx ,S:xx H:KQJx D:AKxx C:Txx ,True,False,-3,2,4,3,5,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8323,-1.0,2.0,-5,-6,S:Ax H:AKxx D:JTxx C:Axx ,S:xxxx H:QJx D:Axx C:Qxx ,False,False,-5,2,4,4,4,4,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8324,-2.0,-1.0,-2,-3,S:xxxx H:Tx D:xxx C:xxxx ,S:AQxx H:AKQx D:KQx C:KT ,True,False,-3,4,2,3,5,4,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8325,-2.0,-1.0,-2,-3,S:Jxx H:Kx D:AKTx C:KJxx ,S:xxx H:Qx D:Jxxx C:Axxx ,True,False,-3,3,2,4,5,3,2,4,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8326,-1.0,2.0,-5,-6,S:xxxx H:Qxx D:xxx C:Kxx ,S:AKQJ H:xxx D:AJx C:Axx ,False,False,-5,4,3,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8327,-1.0,2.0,-5,-6,S:xxx H:Jxx D:AKJ C:Axxx ,S:AT H:Axxx D:xxx C:QTxx ,True,False,-6,3,3,3,5,2,4,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8328,4.0,4.0,6,10,S:AQ H:Qxxx D:AQJx C:AKx ,S:KJxx H:Jxx D:Kxx C:xxx ,False,True,6,2,4,4,4,4,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8329,4.0,4.0,6,10,S:Kxxx H:AJT D:Axx C:xxx ,S:AQTx H:Kxxx D:Qx C:KJx ,False,True,6,4,3,3,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
