,Vector,Classification_threshold,Vul_threshold,Nv_threshold,Accuracy,Expectation
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0]",50,50,50,0.7722,1.8432489451476792
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0]",100,99,101,0.76295,0.119831223628692
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 21, 20, 19, 17, 16, 15, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 0]",75,75,76,0.7573,1.0959915611814346
Schenken,"[10, 8, 7, 6, 6, 6, 5, 4, 4, 3, 2, 2, 1, 1, 0, 0, 12, 11, 10, 10, 9, 8, 8, 7, 7, 6, 6, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 13, 12, 12, 11, 11, 10, 10, 9, 9, 8, 8, 7, 7, 6, 6, 7, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 0]",32,33,33,0.72685,-1.3540084388185654
KnR,"[128, 94, 85, 78, 76, 70, 61, 54, 52, 22, 15, 13, 8, 4, 2, 0, 174, 158, 153, 142, 132, 127, 116, 106, 95, 87, 84, 106, 101, 90, 80, 69, 61, 58, 49, 38, 30, 27, 12, 6, 3, 0, 200, 200, 192, 182, 174, 169, 156, 154, 146, 141, 128, 118, 105, 96, 92, 126, 118, 113, 100, 90, 77, 68, 64, 57, 44, 35, 31, 16, 8, 4, 0, -10]",500,465,476,0.73695,-2.6654008438818564
Bergen,"[22, 18, 15, 14, 13, 11, 8, 10, 9, 4, 3, 2, 0, -1, 1, 0, 27, 24, 23, 22, 20, 19, 18, 16, 15, 14, 13, 16, 15, 14, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1, 0, 32, 31, 30, 28, 27, 26, 22, 24, 23, 22, 18, 19, 15, 14, 13, 20, 19, 18, 14, 15, 11, 10, 9, 11, 7, 6, 5, 3, 2, 1, 0, 0]",75,75,76,0.75165,-1.5341772151898734
Optimized,"[13, 12, 10, 8, 8, 9, 7, 6, 6, 5, 5, 4, 2, 2, 0, 0, 17, 15, 14, 13, 13, 12, 12, 11, 10, 9, 8, 11, 10, 10, 9, 8, 7, 6, 5, 5, 5, 4, 2, 2, 0, 0, 18, 17, 17, 16, 15, 14, 13, 14, 13, 12, 12, 11, 10, 9, 8, 11, 11, 10, 10, 9, 8, 7, 6, 5, 5, 5, 4, 2, 2, 0, 0, 0]",50,49,50,0.78055,2.4945147679324893
Adjusted,"[13, 11, 9, 8, 8, 9, 7, 6, 6, 5, 4, 4, 2, 2, 0, 0, 17, 15, 14, 13, 13, 12, 12, 11, 10, 9, 8, 11, 10, 10, 9, 8, 7, 6, 5, 5, 5, 4, 2, 2, 0, 0, 18, 17, 17, 16, 15, 14, 13, 14, 13, 12, 12, 11, 10, 9, 8, 12, 11, 10, 10, 9, 8, 7, 6, 5, 5, 5, 4, 2, 2, 0, 0, 0]",50,49,50,0.78155,2.369101
