,Vector,Classification_threshold,Vul_threshold,Nv_threshold,Accuracy,Expectation
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0, 0]",50,50,50,0.0,-0.2871036369162192
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0, 0]",100,99,101,0.0,-0.12045385472596495
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 21, 20, 19, 17, 16, 15, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 34, 33, 31, 30, 28, 27, 25, 24, 24, 23, 21, 20, 18, 17, 15, 14, 19, 19, 17, 16, 14, 13, 11, 10, 9, 8, 7, 5, 3, 2, 0, 0, 34, 33, 31, 30, 28, 27, 25, 24, 24, 23, 21, 20, 18, 17, 15, 14, 19, 19, 17, 16, 14, 13, 11, 10, 9, 8, 7, 5, 3, 2, 0, 0, 0, 0]",75,75,76,0.0,0.9929085199067977
Schenken,"[10, 8, 7, 6, 6, 6, 5, 4, 4, 3, 2, 2, 1, 1, 0, 0, 12, 11, 10, 10, 9, 8, 8, 7, 7, 6, 6, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 13, 12, 12, 11, 11, 10, 10, 9, 9, 8, 8, 7, 7, 6, 6, 7, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 13, 13, 12, 12, 11, 11, 10, 10, 9, 9, 8, 8, 7, 7, 6, 6, 7, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 13, 13, 12, 12, 11, 11, 10, 10, 9, 9, 8, 8, 7, 7, 6, 6, 7, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 0, 0, 0, 0]",32,32,32,0.0,0.634788775200081
KnR,"[128, 94, 85, 78, 76, 70, 61, 54, 52, 22, 15, 13, 8, 4, 2, 0, 174, 158, 153, 142, 132, 127, 116, 106, 95, 87, 84, 106, 101, 90, 80, 69, 61, 58, 49, 38, 30, 27, 12, 6, 3, 0, 200, 200, 192, 182, 174, 169, 156, 154, 146, 141, 128, 118, 105, 96, 92, 126, 118, 113, 100, 90, 77, 68, 64, 57, 44, 35, 31, 16, 8, 4, 0, 230, 220, 220, 210, 200, 190, 185, 170, 170, 160, 155, 140, 130, 115, 105, 100, 140, 130, 125, 110, 100, 85, 75, 70, 65, 65, 40, 35, 20, 10, 5, 0, 272, 260, 260, 252, 238, 226, 221, 204, 206, 194, 189, 172, 162, 145, 134, 128, 174, 162, 157, 140, 130, 113, 102, 96, 93, 76, 65, 59, 44, 32, 26, 2, 0, -10]",500,465,476,0.0,-1.164319724445345
Bergen,"[22, 18, 15, 14, 13, 11, 8, 10, 9, 4, 3, 2, 0, -1, 1, 0, 27, 24, 23, 22, 20, 19, 18, 16, 15, 14, 13, 16, 15, 14, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1, 0, 32, 31, 30, 28, 27, 26, 22, 24, 23, 22, 18, 19, 15, 14, 13, 20, 19, 18, 14, 15, 11, 10, 9, 11, 7, 6, 5, 3, 2, 1, 0, 36, 35, 34, 33, 31, 30, 29, 25, 27, 26, 25, 21, 22, 18, 17, 16, 23, 22, 21, 17, 18, 14, 13, 12, 14, 10, 9, 8, 6, 5, 4, 3, 39, 38, 37, 36, 34, 33, 32, 28, 30, 29, 28, 24, 25, 21, 20, 19, 26, 25, 24, 20, 21, 17, 16, 15, 17, 13, 12, 11, 9, 8, 7, 6, 0, 0]",75,75,76,0.0,-1.207577753013879
Optimized,"[13, 11, 9, 8, 8, 9, 7, 6, 6, 5, 4, 4, 2, 2, 0, 0, 17, 15, 14, 13, 13, 13, 12, 11, 10, 9, 8, 11, 11, 10, 9, 8, 7, 6, 6, 5, 5, 4, 2, 2, 0, 0, 18, 18, 17, 16, 15, 14, 13, 14, 13, 13, 12, 11, 10, 9, 8, 12, 11, 11, 10, 9, 8, 7, 6, 6, 5, 5, 4, 2, 2, 0, 0, 18, 18, 18, 18, 16, 16, 15, 14, 14, 14, 13, 12, 11, 10, 9, 8, 12, 11, 11, 10, 9, 8, 7, 6, 7, 6, 5, 4, 3, 2, 1, 0, 20, 20, 19, 19, 18, 17, 16, 14, 15, 14, 13, 13, 12, 12, 9, 8, 12, 11, 11, 10, 9, 8, 7, 7, 7, 6, 5, 4, 3, 2, 1, 0, 0, 0]",50,49,50,0.7175538461538462,1.1517576739945294
