,Vector,Vul_threshold,Nv_threshold,Expectation,Accuracy,Score
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0]",50,50,2.7224,0.7739125,-0.009292707188105336
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0]",99,100,2.623425,0.766725,-0.4238259776975028
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 21, 20, 19, 17, 16, 15, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 0]",75,75,2.6822,0.760275,-0.1776608554525941
Optimized,"[13, 11, 10, 8, 8, 9, 7, 7, 6, 5, 4, 4, 2, 2, 1, 0, 16, 15, 14, 13, 13, 13, 12, 11, 10, 9, 8, 11, 10, 9, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 1, 0, 18, 17, 17, 15, 15, 14, 13, 14, 13, 13, 12, 12, 10, 9, 8, 12, 11, 10, 9, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 1, 0, 0]",49,50,2.87045,0.779625,0.6107795403382023
