,Vector,Vul_threshold,Nv_threshold,Expectation,Accuracy,Score
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0]",50,50,0.0,0.0,0.002882075094067729
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0]",99,100,0.0,0.0,-0.41971552851386335
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 21, 20, 19, 17, 16, 15, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 0]",75,75,0.0,0.0,-0.1687615082859659
Opt_Work,"[12, 11, 10, 9, 8, 9, 7, 6, 6, 6, 4, 3, 2, 1, 0, 0, 17, 15, 14, 13, 14, 13, 12, 12, 10, 9, 8, 11, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 2, 2, 0, 0, 19, 17, 17, 16, 15, 15, 14, 14, 14, 13, 12, 12, 11, 9, 8, 12, 12, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 0, 0, 0]",49,50,2.858875,0.777975,0.5855949617057615
