,Vector,Vul_threshold,Nv_threshold,Expectation,Accuracy,Score
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0]",50,50,2.7224,0.7739125,0.01868503284229322
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0]",99,100,2.623425,0.766725,-0.28428033926407753
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, -2]",74,75,2.61475,0.766775,-0.3108347681908042
Kleinman+,"[21, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 27, 24, 23, 22, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 30, 29, 28, 26, 25, 23, 22, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 0]",75,75,2.690175,0.771625,-0.07995663541865952
Optimized_Flat,"[12, 11, 10, 9, 8, 9, 7, 6, 6, 6, 4, 3, 2, 1, 0, 0, 17, 15, 14, 13, 14, 13, 12, 12, 10, 9, 8, 11, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 2, 2, 0, 0, 19, 17, 17, 16, 15, 15, 14, 14, 14, 13, 12, 12, 11, 9, 8, 12, 12, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 0, 0, 0]",49,50,2.858875,0.777975,0.43643900261462915
Optimized_No10s,"[13, 13, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 17, 15, 14, 14, 14, 13, 13, 11, 11, 8, 8, 12, 10, 10, 9, 9, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 15, 15, 13, 13, 11, 11, 8, 8, 12, 12, 10, 10, 9, 9, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0]",50,50,2.78815,0.764325,0.21994770741661882
