,Vector,Vul_threshold,Nv_threshold,Expectation,Accuracy,Score
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0, 0]",50,50,2.44395,0.7511,-0.12477717436365143
Work++,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 22, 22, 20, 20, 18, 18, 16, 16, 16, 16, 14, 14, 12, 12, 10, 10, 14, 14, 12, 12, 10, 10, 8, 8, 8, 8, 6, 6, 4, 4, 2, 2, 0, 0]",50,50,2.28215,0.6504125000000001,-0.3930799684934914
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0, 0]",97,100,2.565525,0.757825,0.07682302462482381
Woolsey+,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 42, 42, 39, 39, 35, 35, 32, 32, 30, 30, 27, 27, 23, 23, 20, 20, 24, 24, 21, 21, 17, 17, 14, 14, 12, 12, 9, 9, 5, 5, 2, 2, 0, 0]",100,100,2.54155,0.72865,0.03706678550700605
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 35, 34, 32, 31, 29, 28, 26, 25, 25, 24, 22, 21, 19, 18, 16, 15, 21, 20, 18, 17, 15, 14, 12, 11, 10, 9, 8, 5, 3, 2, 0, 0, 0, -2]",75,75,2.478475,0.7129125000000001,-0.06752653179670011
Kleinman+,"[21, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 27, 24, 23, 22, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 30, 29, 28, 26, 25, 23, 22, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 34, 33, 31, 30, 28, 27, 25, 24, 25, 24, 22, 21, 19, 18, 16, 15, 21, 20, 18, 17, 15, 14, 12, 11, 10, 9, 8, 5, 3, 2, 0, 0, 0, 0]",75,75,2.56855,0.7258625000000001,0.08183919243843794
Optimized_Flat,"[12, 11, 10, 9, 8, 9, 7, 6, 6, 6, 4, 3, 2, 1, 0, 0, 17, 15, 14, 13, 14, 13, 12, 12, 10, 9, 8, 11, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 2, 2, 0, 0, 19, 17, 17, 16, 15, 15, 14, 14, 14, 13, 12, 12, 11, 9, 8, 12, 12, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 0, 0, 19, 19, 17, 17, 16, 15, 15, 14, 14, 14, 13, 12, 12, 11, 9, 8, 12, 12, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 0, 0, 0, 0]",49,50,2.565675,0.758075,0.07707176021888731
Optimized_Balanced,"[13, 12, 10, 8, 8, 8, 6, 6, 6, 4, 3, 3, 2, 1, 0, 0, 17, 16, 15, 14, 14, 13, 13, 12, 11, 9, 9, 11, 10, 10, 9, 8, 7, 6, 5, 5, 4, 4, 2, 2, 0, 0, 18, 18, 18, 16, 16, 15, 14, 15, 14, 13, 13, 12, 11, 9, 9, 11, 11, 10, 10, 9, 8, 7, 6, 6, 5, 4, 4, 2, 2, 1, 0, 20, 19, 19, 18, 16, 16, 15, 14, 15, 14, 14, 13, 12, 11, 9, 9, 12, 11, 11, 10, 9, 8, 7, 6, 6, 5, 4, 4, 3, 2, 1, 0, 0, 0]",49,50,2.7077,0.7548125,0.31258291186468784
