,Vector,Vul_threshold,Nv_threshold,Expectation,Accuracy,Score
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0, 0]",50,50,0.0,0.7511,-0.12548515655078404
Work++,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 22, 22, 20, 20, 18, 18, 16, 16, 16, 16, 14, 14, 12, 12, 10, 10, 14, 14, 12, 12, 10, 10, 8, 8, 8, 8, 6, 6, 4, 4, 2, 2, 0, 0]",50,50,0.0,0.6504125000000001,-0.3948628034504646
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0, 0]",97,100,0.0,0.757825,0.07692267671144501
Woolsey+,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 42, 42, 39, 39, 35, 35, 32, 32, 30, 30, 27, 27, 23, 23, 20, 20, 24, 24, 21, 21, 17, 17, 14, 14, 12, 12, 9, 9, 5, 5, 2, 2, 0, 0]",100,100,0.0,0.72865,0.03700716939117405
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 35, 34, 32, 31, 29, 28, 26, 25, 25, 24, 22, 21, 19, 18, 16, 15, 21, 20, 18, 17, 15, 14, 12, 11, 10, 9, 8, 5, 3, 2, 0, 0, 0, -2]",75,75,0.0,0.7129125000000001,-0.06800516112920513
Kleinman+,"[21, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 27, 24, 23, 22, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 30, 29, 28, 26, 25, 23, 22, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 34, 33, 31, 30, 28, 27, 25, 24, 25, 24, 22, 21, 19, 18, 16, 15, 21, 20, 18, 17, 15, 14, 12, 11, 10, 9, 8, 5, 3, 2, 0, 0, 0, 0]",75,75,0.0,0.7258625000000001,0.08195893988741246
Optimized_Flat,"[60, 55, 50, 45, 40, 45, 35, 30, 30, 30, 20, 15, 10, 5, 0, 0, 85, 75, 70, 65, 70, 65, 60, 60, 50, 45, 40, 55, 50, 50, 45, 40, 35, 30, 30, 30, 25, 20, 10, 10, 0, 0, 95, 85, 85, 80, 75, 75, 70, 70, 70, 65, 60, 60, 55, 45, 40, 60, 60, 50, 50, 45, 40, 35, 30, 30, 30, 25, 20, 15, 10, 0, 0, 95, 95, 85, 85, 80, 75, 75, 70, 70, 70, 65, 60, 60, 55, 45, 40, 60, 60, 50, 50, 45, 40, 35, 30, 30, 30, 25, 20, 15, 10, 0, 0, 0, 0]",245,250,0.0,0.758075,0.07717240876975744
Optimized_No10s,"[13, 13, 10, 8, 8, 8, 7, 7, 6, 4, 3, 3, 1, 1, 0, 0, 18, 16, 15, 14, 14, 13, 13, 12, 11, 9, 9, 11, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 2, 2, 0, 0, 18, 18, 18, 17, 16, 15, 14, 15, 14, 13, 13, 12, 11, 9, 9, 12, 11, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 1, 0, 20, 19, 19, 18, 17, 17, 15, 14, 15, 14, 14, 13, 12, 11, 9, 9, 12, 12, 11, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 1, 0, 0, 0]",50,50,2.7087,0.7441625000000001,0.31529192637066483
