,Vector,Vul_threshold,Nv_threshold,Expectation,Accuracy,Score
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0, 0]",50,50,0.0,0.7511,-0.1268882175226586
Work++,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 22, 22, 20, 20, 18, 18, 16, 16, 16, 16, 14, 14, 12, 12, 10, 10, 14, 14, 12, 12, 10, 10, 8, 8, 8, 8, 6, 6, 4, 4, 2, 2, 0, 0]",50,50,0.0,0.6504125000000001,-0.43561774526951824
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0, 0]",97,100,0.0,0.757825,0.10508824932421687
Woolsey+,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 42, 42, 39, 39, 35, 35, 32, 32, 30, 30, 27, 27, 23, 23, 20, 20, 24, 24, 21, 21, 17, 17, 14, 14, 12, 12, 9, 9, 5, 5, 2, 2, 0, 0]",100,100,0.0,0.72865,0.05934170774367944
Kleinman,"[21, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 27, 24, 23, 22, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 30, 29, 28, 26, 25, 23, 22, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 34, 33, 31, 30, 28, 27, 25, 24, 25, 24, 22, 21, 19, 18, 16, 15, 21, 20, 18, 17, 15, 14, 12, 11, 10, 9, 8, 5, 3, 2, 0, 0, 0, -2]",75,75,0.0,0.7263375000000001,-0.007393862299252664
Optimized,"[19, 18, 14, 13, 12, 12, 10, 10, 9, 6, 5, 5, 3, 3, 1, 1, 24, 23, 21, 20, 20, 19, 18, 16, 16, 13, 13, 16, 14, 14, 13, 12, 10, 9, 8, 8, 7, 6, 4, 3, 1, 1, 26, 26, 25, 23, 23, 21, 20, 20, 20, 19, 18, 16, 16, 13, 13, 16, 16, 15, 14, 13, 12, 10, 9, 9, 8, 7, 6, 4, 3, 2, 1, 27, 27, 27, 25, 24, 24, 22, 21, 22, 20, 20, 18, 18, 16, 13, 13, 16, 16, 15, 14, 13, 12, 10, 9, 9, 8, 7, 6, 4, 4, 2, 1, 0, 0]",74,75,2.72295,0.75435,0.40546986802353313
