,Vector,Vul_threshold,Nv_threshold,Expectation,Accuracy,Score
Work,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 0, 0]",50,50,0.0,0.0,-0.1346792928503714
Work++,"[14, 12, 10, 8, 8, 10, 8, 6, 6, 6, 4, 4, 2, 2, 0, 0, 18, 16, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 20, 18, 18, 16, 16, 14, 14, 14, 14, 12, 12, 10, 10, 8, 8, 12, 12, 10, 10, 8, 8, 6, 6, 6, 6, 4, 4, 2, 2, 0, 0, 22, 22, 20, 20, 18, 18, 16, 16, 16, 16, 14, 14, 12, 12, 10, 10, 14, 14, 12, 12, 10, 10, 8, 8, 8, 8, 6, 6, 4, 4, 2, 2, 0, 0]",50,50,0.0,0.0,-0.4043712431373775
Woolsey,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 0, 0]",97,100,0.0,0.0,0.06796470502442938
Woolsey+,"[30, 25, 21, 18, 18, 19, 15, 12, 12, 10, 7, 7, 3, 3, 0, 0, 37, 33, 30, 30, 28, 25, 25, 21, 21, 18, 18, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 40, 37, 37, 33, 33, 30, 30, 28, 28, 25, 25, 21, 21, 18, 18, 22, 22, 19, 19, 15, 15, 12, 12, 10, 10, 7, 7, 3, 3, 0, 0, 42, 42, 39, 39, 35, 35, 32, 32, 30, 30, 27, 27, 23, 23, 20, 20, 24, 24, 21, 21, 17, 17, 14, 14, 12, 12, 9, 9, 5, 5, 2, 2, 0, 0]",100,100,0.0,0.0,0.028002625246116825
Kleinman,"[22, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 28, 25, 24, 23, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 31, 30, 29, 27, 26, 24, 23, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 35, 34, 32, 31, 29, 28, 26, 25, 25, 24, 22, 21, 19, 18, 16, 15, 21, 20, 18, 17, 15, 14, 12, 11, 10, 9, 8, 5, 3, 2, 0, 0, 0, -2]",75,75,0.0,0.0,-0.07713223114667
Kleinman+,"[21, 18, 15, 14, 13, 14, 11, 10, 9, 5, 5, 4, 2, 1, 0, 0, 27, 24, 23, 22, 21, 20, 19, 17, 16, 14, 13, 17, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 2, 1, 0, 0, 30, 29, 28, 26, 25, 23, 22, 23, 22, 20, 19, 17, 16, 14, 13, 19, 18, 16, 15, 13, 12, 10, 9, 8, 7, 6, 5, 3, 2, 0, 0, 34, 33, 31, 30, 28, 27, 25, 24, 25, 24, 22, 21, 19, 18, 16, 15, 21, 20, 18, 17, 15, 14, 12, 11, 10, 9, 8, 5, 3, 2, 0, 0, 0, 0]",75,75,0.0,0.0,0.07300684439166172
Optimized_Flat,"[12, 11, 10, 9, 8, 9, 7, 6, 6, 6, 4, 3, 2, 1, 0, 0, 17, 15, 14, 13, 14, 13, 12, 12, 10, 9, 8, 11, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 2, 2, 0, 0, 19, 17, 17, 16, 15, 15, 14, 14, 14, 13, 12, 12, 11, 9, 8, 12, 12, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 0, 0, 19, 19, 17, 17, 16, 15, 15, 14, 14, 14, 13, 12, 12, 11, 9, 8, 12, 12, 10, 10, 9, 8, 7, 6, 6, 6, 5, 4, 3, 2, 0, 0, 0, 0]",49,50,2.565675,0.758075,0.06821472846412684
Optimized_Granular,"[67, 61, 47, 40, 40, 40, 35, 30, 30, 20, 19, 15, 8, 5, 0, 0, 82, 80, 75, 70, 71, 65, 65, 58, 55, 45, 40, 55, 51, 50, 44, 40, 35, 30, 30, 27, 25, 20, 13, 10, 3, 0, 89, 89, 88, 82, 80, 75, 70, 74, 71, 66, 65, 58, 55, 45, 43, 57, 55, 51, 50, 45, 40, 35, 30, 30, 28, 25, 20, 13, 10, 5, 0, 95, 95, 95, 90, 86, 82, 75, 70, 77, 72, 70, 66, 63, 55, 48, 45, 58, 55, 55, 50, 45, 45, 37, 30, 32, 32, 25, 21, 18, 13, 5, 0, 0, 0]",245,250,2.752125,0.7549250000000001,0.3789938640080841
